Pattern,Iteration,Consumption (mW)
Validator,1,2.90,230.50,0.03,16.711,[49.651,48.773,48.773]
Validator,2,2.90,230.50,0.03,16.711,[49.651,48.773,48.773]
Validator,3,2.70,230.70,0.03,16.711,[49.651,48.773,48.773]
Validator,4,2.70,230.70,0.03,16.711,[49.651,48.773,48.773]
Validator,5,2.70,230.70,0.03,16.711,[49.651,48.773,48.773]
Validator,6,2.70,230.70,0.03,16.711,[49.651,48.773,48.773]
Validator,7,2.70,230.70,0.03,16.711,[49.651,48.773,48.773]
Validator,8,2.90,230.70,0.03,16.712,[49.651,48.773,48.773]
Validator,9,2.90,230.70,0.03,16.712,[49.651,48.773,48.773]
Validator,10,2.90,230.70,0.03,16.712,[49.651,48.773,48.773]
Validator,11,2.90,230.70,0.03,16.712,[49.651,48.773,48.773]
Validator,12,3.10,231.30,0.03,16.713,[49.651,48.773,48.773]
Validator,13,3.10,231.30,0.03,16.713,[49.651,48.773,48.773]
Validator,14,3.10,231.30,0.03,16.713,[49.651,48.773,48.773]
Validator,15,3.00,231.30,0.03,16.714,[49.651,48.773,48.773]
Validator,16,3.00,231.30,0.03,16.714,[49.651,48.773,48.773]
Validator,17,3.00,231.30,0.03,16.714,[
