Iteration,Pattern,CPU Load (%),Execution Time (ms),Energy Consumed (J)
66,NonVisitorPattern,0.00,0.08,0.0000
67,VisitorPattern,0.00,0.07,0.0000
67,NonVisitorPattern,0.00,0.07,0.0000
68,VisitorPattern,0.00,0.07,0.0000
68,NonVisitorPattern,0.00,0.11,0.0000
69,VisitorPattern,0.00,0.07,0.0000
69,NonVisitorPattern,0.00,0.08,0.0000
70,VisitorPattern,0.00,0.08,0.0000
70,NonVisitorPattern,0.00,0.07,0.0000
71,VisitorPattern,0.00,0.08,0.0000
71,NonVisitorPattern,0.00,0.07,0.0000
72,VisitorPattern,0.00,0.08,0.0000
72,NonVisitorPattern,0.00,0.07,0.0000
73,VisitorPattern,0.00,0.08,0.0000
73,NonVisitorPattern,0.00,0.07,0.0000
74,VisitorPattern,0.00,0.08,0.0000
74,NonVisitorPattern,0.00,0.07,0.0000
75,VisitorPattern,0.00,2.97,0.0000
75,NonVisitorPattern,0.00,0.07,0.0000
76,VisitorPattern,0.00,0.09,0.0000
76,NonVisitorPattern,0.00,0.12,0.0000
77,VisitorPattern,0.00,0.14,0.0000
77,NonVisitorPattern,0.00,0.07,0.0000
78,VisitorPattern,0.00,0.12,0.0000
78,NonVisitorPattern,0.00,0.07,0.0000
79,VisitorPattern,0.00,0.08,0.0000
79,NonVisitorPattern,0.00,0.07,0.0000
80,VisitorPattern,0.00,0.08,0.0000
80,NonVisitorPattern,0.00,0.07,0.0000
81,VisitorPattern,0.00,0.08,0.0000
81,NonVisitorPattern,0.00,0.07,0.0000
82,VisitorPattern,0.00,0.07,0.0000
82,NonVisitorPattern,0.00,0.07,0.0000
83,VisitorPattern,0.00,0.07,0.0000
83,NonVisitorPattern,0.00,0.07,0.0000
84,VisitorPattern,0.00,0.08,0.0000
84,NonVisitorPattern,0.00,0.07,0.0000
85,VisitorPattern,0.00,0.08,0.0000
85,NonVisitorPattern,0.00,0.07,0.0000
86,VisitorPattern,0.00,0.07,0.0000
86,NonVisitorPattern,0.00,0.07,0.0000
87,VisitorPattern,0.00,0.07,0.0000
87,NonVisitorPattern,0.00,0.07,0.0000
88,VisitorPattern,0.00,0.08,0.0000
88,NonVisitorPattern,0.00,0.07,0.0000
89,VisitorPattern,0.00,0.08,0.0000
89,NonVisitorPattern,0.00,0.07,0.0000
90,VisitorPattern,0.00,0.10,0.0000
90,NonVisitorPattern,0.00,0.07,0.0000
91,VisitorPattern,0.00,0.08,0.0000
91,NonVisitorPattern,0.00,0.07,0.0000
92,VisitorPattern,0.00,0.08,0.0000
92,NonVisitorPattern,0.00,0.07,0.0000
93,VisitorPattern,0.00,0.08,0.0000
93,NonVisitorPattern,0.00,0.07,0.0000
94,VisitorPattern,0.00,0.08,0.0000
94,NonVisitorPattern,0.00,0.07,0.0000
95,VisitorPattern,0.00,0.08,0.0000
95,NonVisitorPattern,0.00,0.07,0.0000
96,VisitorPattern,0.00,0.08,0.0000
96,NonVisitorPattern,0.00,0.13,0.0000
97,VisitorPattern,0.00,0.08,0.0000
97,NonVisitorPattern,0.00,0.07,0.0000
98,VisitorPattern,0.00,0.08,0.0000
98,NonVisitorPattern,0.00,0.09,0.0000
99,VisitorPattern,0.00,0.08,0.0000
99,NonVisitorPattern,0.00,0.07,0.0000
100,VisitorPattern,0.00,0.08,0.0000
100,NonVisitorPattern,0.00,0.07,0.0000
101,VisitorPattern,0.00,0.08,0.0000
101,NonVisitorPattern,0.00,0.07,0.0000
102,VisitorPattern,0.00,0.07,0.0000
102,NonVisitorPattern,0.00,0.07,0.0000
103,VisitorPattern,0.00,0.08,0.0000
103,NonVisitorPattern,0.00,0.09,0.0000
104,VisitorPattern,0.00,0.08,0.0000
104,NonVisitorPattern,0.00,0.07,0.0000
105,VisitorPattern,0.00,0.07,0.0000
105,NonVisitorPattern,0.00,0.07,0.0000
106,VisitorPattern,0.00,0.07,0.0000
106,NonVisitorPattern,0.00,0.07,0.0000
107,VisitorPattern,0.00,0.08,0.0000
107,NonVisitorPattern,0.00,0.07,0.0000
108,VisitorPattern,0.00,0.08,0.0000
108,NonVisitorPattern,0.00,0.08,0.0000
109,VisitorPattern,0.00,0.07,0.0000
109,NonVisitorPattern,0.00,0.07,0.0000
110,VisitorPattern,0.00,0.07,0.0000
110,NonVisitorPattern,0.00,0.07,0.0000
111,VisitorPattern,0.00,0.08,0.0000
111,NonVisitorPattern,0.00,0.07,0.0000
112,VisitorPattern,0.00,0.08,0.0000
112,NonVisitorPattern,0.00,0.07,0.0000
113,VisitorPattern,0.00,0.08,0.0000
113,NonVisitorPattern,0.00,0.07,0.0000
114,VisitorPattern,0.00,0.07,0.0000
114,NonVisitorPattern,0.00,0.07,0.0000
115,VisitorPattern,0.00,0.08,0.0000
115,NonVisitorPattern,0.00,0.07,0.0000
116,VisitorPattern,0.00,0.07,0.0000
116,NonVisitorPattern,0.00,0.07,0.0000
117,VisitorPattern,0.00,0.08,0.0000
117,NonVisitorPattern,0.00,0.07,0.0000
118,VisitorPattern,0.00,0.07,0.0000
118,NonVisitorPattern,0.00,0.07,0.0000
119,VisitorPattern,0.00,0.08,0.0000
119,NonVisitorPattern,0.00,0.07,0.0000
120,VisitorPattern,0.00,0.08,0.0000
120,NonVisitorPattern,0.00,0.07,0.0000
121,VisitorPattern,0.00,0.08,0.0000
121,NonVisitorPattern,0.00,0.07,0.0000
122,VisitorPattern,0.00,0.07,0.0000
122,NonVisitorPattern,0.00,0.07,0.0000
123,VisitorPattern,0.00,0.07,0.0000
123,NonVisitorPattern,0.00,0.07,0.0000
124,VisitorPattern,0.00,0.08,0.0000
124,NonVisitorPattern,0.00,0.07,0.0000
125,VisitorPattern,0.00,0.12,0.0000
125,NonVisitorPattern,0.00,0.07,0.0000
126,VisitorPattern,0.00,0.11,0.0000
126,NonVisitorPattern,0.00,0.07,0.0000
127,VisitorPattern,0.00,0.08,0.0000
127,NonVisitorPattern,0.00,0.08,0.0000
128,VisitorPattern,0.00,0.11,0.0000
128,NonVisitorPattern,0.00,0.08,0.0000
129,VisitorPattern,0.00,0.09,0.0000
129,NonVisitorPattern,0.00,0.07,0.0000
130,VisitorPattern,0.00,0.07,0.0000
130,NonVisitorPattern,0.00,0.07,0.0000
131,VisitorPattern,0.00,0.07,0.0000
131,NonVisitorPattern,0.00,0.07,0.0000
132,VisitorPattern,0.00,0.07,0.0000
132,NonVisitorPattern,0.00,0.07,0.0000
133,VisitorPattern,0.00,0.07,0.0000
133,NonVisitorPattern,0.00,0.07,0.0000
134,VisitorPattern,0.00,0.07,0.0000
134,NonVisitorPattern,0.00,0.07,0.0000
135,VisitorPattern,0.00,0.07,0.0000
135,NonVisitorPattern,0.00,0.07,0.0000
136,VisitorPattern,0.00,0.07,0.0000
136,NonVisitorPattern,0.00,0.07,0.0000
137,VisitorPattern,0.00,0.08,0.0000
137,NonVisitorPattern,0.00,0.07,0.0000
138,VisitorPattern,0.00,0.07,0.0000
138,NonVisitorPattern,0.00,0.07,0.0000
139,VisitorPattern,0.00,0.07,0.0000
139,NonVisitorPattern,0.00,0.07,0.0000
140,VisitorPattern,0.00,0.08,0.0000
140,NonVisitorPattern,0.00,0.07,0.0000
141,VisitorPattern,0.00,0.08,0.0000
141,NonVisitorPattern,0.00,0.09,0.0000
142,VisitorPattern,0.00,0.12,0.0000
142,NonVisitorPattern,0.00,0.13,0.0000
