Iteration,Pattern,CPU Load (%),Execution Time (ms),Energy Consumed (J)
2967,VisitorPattern,0.00,0.09,0.0000
2967,NonVisitorPattern,0.00,0.08,0.0000
2968,VisitorPattern,0.00,0.08,0.0000
2968,NonVisitorPattern,0.00,0.08,0.0000
2969,VisitorPattern,0.00,0.08,0.0000
2969,NonVisitorPattern,0.00,0.08,0.0000
2970,VisitorPattern,0.00,0.08,0.0000
2970,NonVisitorPattern,0.00,0.08,0.0000
2971,VisitorPattern,0.00,0.09,0.0000
2971,NonVisitorPattern,0.00,0.09,0.0000
2972,VisitorPattern,0.00,0.09,0.0000
2972,NonVisitorPattern,0.00,0.09,0.0000
2973,VisitorPattern,0.00,0.09,0.0000
2973,NonVisitorPattern,0.00,0.08,0.0000
2974,VisitorPattern,0.00,0.08,0.0000
2974,NonVisitorPattern,0.00,0.07,0.0000
2975,VisitorPattern,0.00,0.08,0.0000
2975,NonVisitorPattern,0.00,0.08,0.0000
2976,VisitorPattern,0.00,0.07,0.0000
2976,NonVisitorPattern,0.00,0.07,0.0000
2977,VisitorPattern,0.00,0.08,0.0000
2977,NonVisitorPattern,0.00,0.07,0.0000
2978,VisitorPattern,0.00,0.07,0.0000
2978,NonVisitorPattern,0.00,0.07,0.0000
2979,VisitorPattern,0.00,0.08,0.0000
2979,NonVisitorPattern,0.00,0.09,0.0000
2980,VisitorPattern,0.00,0.08,0.0000
2980,NonVisitorPattern,0.00,0.09,0.0000
2981,VisitorPattern,0.00,0.10,0.0000
2981,NonVisitorPattern,0.00,0.10,0.0000
2982,VisitorPattern,0.00,0.11,0.0000
2982,NonVisitorPattern,0.00,0.11,0.0000
2983,VisitorPattern,0.00,0.10,0.0000
2983,NonVisitorPattern,0.00,0.09,0.0000
2984,VisitorPattern,0.00,0.11,0.0000
2984,NonVisitorPattern,0.00,0.11,0.0000
2985,VisitorPattern,0.00,0.11,0.0000
2985,NonVisitorPattern,0.00,0.09,0.0000
2986,VisitorPattern,0.00,0.09,0.0000
2986,NonVisitorPattern,0.00,0.09,0.0000
2987,VisitorPattern,0.00,0.11,0.0000
2987,NonVisitorPattern,0.00,0.09,0.0000
2988,VisitorPattern,0.00,0.09,0.0000
2988,NonVisitorPattern,0.00,0.08,0.0000
2989,VisitorPattern,0.00,0.09,0.0000
2989,NonVisitorPattern,0.00,0.09,0.0000
2990,VisitorPattern,0.00,0.10,0.0000
2990,NonVisitorPattern,0.00,0.09,0.0000
2991,VisitorPattern,0.00,0.08,0.0000
2991,NonVisitorPattern,0.00,0.09,0.0000
2992,VisitorPattern,0.00,0.11,0.0000
2992,NonVisitorPattern,0.00,0.09,0.0000
2993,VisitorPattern,0.00,0.08,0.0000
2993,NonVisitorPattern,0.00,0.07,0.0000
2994,VisitorPattern,0.00,0.09,0.0000
2994,NonVisitorPattern,0.00,0.08,0.0000
2995,VisitorPattern,0.00,0.08,0.0000
2995,NonVisitorPattern,0.00,0.08,0.0000
2996,VisitorPattern,0.00,0.09,0.0000
2996,NonVisitorPattern,0.00,0.07,0.0000
2997,VisitorPattern,0.00,0.08,0.0000
2997,NonVisitorPattern,0.00,0.08,0.0000
2998,VisitorPattern,0.00,0.09,0.0000
2998,NonVisitorPattern,0.00,0.08,0.0000
2999,VisitorPattern,0.00,0.09,0.0000
2999,NonVisitorPattern,0.00,0.08,0.0000
3000,VisitorPattern,0.00,0.09,0.0000
3000,NonVisitorPattern,0.00,0.09,0.0000
3001,VisitorPattern,0.00,0.09,0.0000
3001,NonVisitorPattern,0.00,0.07,0.0000
3002,VisitorPattern,0.00,0.08,0.0000
3002,NonVisitorPattern,0.00,0.09,0.0000
3003,VisitorPattern,0.00,0.09,0.0000
3003,NonVisitorPattern,0.00,0.08,0.0000
3004,VisitorPattern,0.00,0.08,0.0000
3004,NonVisitorPattern,0.00,0.08,0.0000
3005,VisitorPattern,0.00,0.10,0.0000
3005,NonVisitorPattern,0.00,0.09,0.0000
3006,VisitorPattern,0.00,0.10,0.0000
3006,NonVisitorPattern,0.00,0.09,0.0000
3007,VisitorPattern,0.00,0.10,0.0000
3007,NonVisitorPattern,0.00,0.09,0.0000
3008,VisitorPattern,0.00,1.00,0.0000
3008,NonVisitorPattern,0.00,0.44,0.0000
3009,VisitorPattern,0.00,1.27,0.0000
3009,NonVisitorPattern,0.00,0.81,0.0000
3010,VisitorPattern,0.00,2.01,0.0000
3010,NonVisitorPattern,0.00,1.18,0.0000
3011,VisitorPattern,0.00,0.76,0.0000
3011,NonVisitorPattern,0.00,0.73,0.0000
3012,VisitorPattern,0.00,1.41,0.0000
3012,NonVisitorPattern,0.00,1.01,0.0000
3013,VisitorPattern,0.00,0.46,0.0000
3013,NonVisitorPattern,0.00,1.51,0.0000
3014,VisitorPattern,0.00,1.18,0.0000
3014,NonVisitorPattern,0.00,0.62,0.0000
3015,VisitorPattern,0.00,0.96,0.0000
3015,NonVisitorPattern,0.00,1.27,0.0000
3016,VisitorPattern,0.00,0.63,0.0000
3016,NonVisitorPattern,0.00,0.19,0.0000
3017,VisitorPattern,0.00,0.18,0.0000
3017,NonVisitorPattern,0.00,5.63,0.0000
3018,VisitorPattern,0.00,0.80,0.0000
3018,NonVisitorPattern,0.00,0.64,0.0000
3019,VisitorPattern,0.00,0.32,0.0000
3019,NonVisitorPattern,0.00,1.16,0.0000
3020,VisitorPattern,0.00,1.50,0.0000
3020,NonVisitorPattern,0.00,1.47,0.0000
3021,VisitorPattern,0.00,1.53,0.0000
3021,NonVisitorPattern,0.00,1.49,0.0000
3022,VisitorPattern,0.00,1.20,0.0000
3022,NonVisitorPattern,0.00,0.93,0.0000
3023,VisitorPattern,0.00,1.11,0.0000
3023,NonVisitorPattern,0.00,1.49,0.0000
3024,VisitorPattern,0.00,1.12,0.0000
3024,NonVisitorPattern,0.00,0.61,0.0000
3025,VisitorPattern,0.00,0.37,0.0000
3025,NonVisitorPattern,0.00,0.77,0.0000
3026,VisitorPattern,0.00,0.33,0.0000
3026,NonVisitorPattern,0.00,1.39,0.0000
3027,VisitorPattern,0.00,0.63,0.0000
3027,NonVisitorPattern,0.00,0.50,0.0000
3028,VisitorPattern,0.00,0.71,0.0000
3028,NonVisitorPattern,0.00,0.37,0.0000
3029,VisitorPattern,0.00,1.46,0.0000
3029,NonVisitorPattern,0.00,0.82,0.0000
3030,VisitorPattern,0.00,0.72,0.0000
3030,NonVisitorPattern,0.00,0.51,0.0000
3031,VisitorPattern,0.00,0.91,0.0000
3031,NonVisitorPattern,0.00,0.32,0.0000
3032,VisitorPattern,0.00,0.25,0.0000
3032,NonVisitorPattern,0.00,0.25,0.0000
3033,VisitorPattern,0.00,1.23,0.0000
3033,NonVisitorPattern,0.00,0.47,0.0000
3034,VisitorPattern,0.00,0.33,0.0000
3034,NonVisitorPattern,0.00,0.30,0.0000
3035,VisitorPattern,0.00,0.34,0.0000
3035,NonVisitorPattern,0.00,0.87,0.0000
3036,VisitorPattern,0.00,0.63,0.0000
3036,NonVisitorPattern,0.00,0.31,0.0000
3037,VisitorPattern,0.00,0.26,0.0000
3037,NonVisitorPattern,0.00,0.36,0.0000
3038,VisitorPattern,0.00,0.50,0.0000
3038,NonVisitorPattern,0.00,0.80,0.0000
3039,VisitorPattern,0.00,0.27,0.0000
3039,NonVisitorPattern,0.00,0.18,0.0000
3040,VisitorPattern,0.00,0.15,0.0000
3040,NonVisitorPattern,0.00,0.17,0.0000
3041,VisitorPattern,0.00,0.17,0.0000
3041,NonVisitorPattern,0.00,0.21,0.0000
3042,VisitorPattern,0.00,0.35,0.0000
3042,NonVisitorPattern,0.00,0.25,0.0000
3043,VisitorPattern,0.00,1.51,0.0000
3043,NonVisitorPattern,0.00,0.16,0.0000
3044,VisitorPattern,0.00,0.17,0.0000
3044,NonVisitorPattern,0.00,0.25,0.0000
3045,VisitorPattern,0.00,0.17,0.0000
3045,NonVisitorPattern,0.00,1.28,0.0000
3046,VisitorPattern,0.00,0.25,0.0000
3046,NonVisitorPattern,0.00,0.22,0.0000
3047,VisitorPattern,0.00,1.32,0.0000
3047,NonVisitorPattern,0.00,0.99,0.0000
3048,VisitorPattern,0.00,1.09,0.0000
3048,NonVisitorPattern,0.00,1.90,0.0000
3049,VisitorPattern,0.00,0.16,0.0000
3049,NonVisitorPattern,0.00,0.16,0.0000
3050,VisitorPattern,0.00,0.25,0.0000
3050,NonVisitorPattern,0.00,0.23,0.0000
3051,VisitorPattern,0.00,1.50,0.0000
3051,NonVisitorPattern,0.00,0.16,0.0000
3052,VisitorPattern,0.00,0.16,0.0000
3052,NonVisitorPattern,0.00,0.25,0.0000
3053,VisitorPattern,0.00,0.25,0.0000
3053,NonVisitorPattern,0.00,1.37,0.0000
3054,VisitorPattern,0.00,0.17,0.0000
3054,NonVisitorPattern,0.00,0.16,0.0000
3055,VisitorPattern,0.00,0.25,0.0000
3055,NonVisitorPattern,0.00,0.19,0.0000
3056,VisitorPattern,0.00,1.32,0.0000
3056,NonVisitorPattern,0.00,0.16,0.0000
3057,VisitorPattern,0.00,0.25,0.0000
3057,NonVisitorPattern,0.00,0.23,0.0000
3058,VisitorPattern,0.00,0.17,0.0000
3058,NonVisitorPattern,0.00,0.93,0.0000
3059,VisitorPattern,0.00,0.54,0.0000
3059,NonVisitorPattern,0.00,0.16,0.0000
3060,VisitorPattern,0.02,0.54,0.2344
3060,NonVisitorPattern,0.00,0.25,0.0000
3061,VisitorPattern,0.00,0.60,0.0000
3061,NonVisitorPattern,0.00,1.34,0.0000
3062,VisitorPattern,0.00,0.94,0.0000
3062,NonVisitorPattern,0.02,0.79,0.2344
3063,VisitorPattern,0.00,1.19,0.0000
3063,NonVisitorPattern,0.00,0.80,0.0000
3064,VisitorPattern,0.00,0.31,0.0000
3064,NonVisitorPattern,0.00,0.97,0.0000
3065,VisitorPattern,0.00,1.11,0.0000
3065,NonVisitorPattern,0.00,1.24,0.0000
3066,VisitorPattern,0.00,0.31,0.0000
3066,NonVisitorPattern,0.00,1.44,0.0000
3067,VisitorPattern,0.00,0.94,0.0000
3067,NonVisitorPattern,0.00,0.17,0.0000
3068,VisitorPattern,0.00,0.76,0.0000
3068,NonVisitorPattern,0.00,0.25,0.0000
3069,VisitorPattern,0.00,0.93,0.0000
3069,NonVisitorPattern,0.00,0.66,0.0000
3070,VisitorPattern,0.00,0.85,0.0000
3070,NonVisitorPattern,0.00,1.43,0.0000
3071,VisitorPattern,0.00,0.61,0.0000
3071,NonVisitorPattern,0.00,1.13,0.0000
3072,VisitorPattern,0.00,0.30,0.0000
3072,NonVisitorPattern,0.00,0.95,0.0000
3073,VisitorPattern,0.00,0.29,0.0000
3073,NonVisitorPattern,0.00,0.89,0.0000
3074,VisitorPattern,0.00,0.18,0.0000
3074,NonVisitorPattern,0.00,0.95,0.0000
3075,VisitorPattern,0.00,0.55,0.0000
3075,NonVisitorPattern,0.00,1.41,0.0000
3076,VisitorPattern,0.00,1.04,0.0000
3076,NonVisitorPattern,0.00,0.90,0.0000
3077,VisitorPattern,0.00,0.29,0.0000
3077,NonVisitorPattern,0.00,0.76,0.0000
3078,VisitorPattern,0.00,2.04,0.0000
3078,NonVisitorPattern,0.00,1.34,0.0000
3079,VisitorPattern,0.00,0.43,0.0000
3079,NonVisitorPattern,0.00,2.16,0.0000
3080,VisitorPattern,0.00,1.61,0.0000
3080,NonVisitorPattern,0.00,0.62,0.0000
3081,VisitorPattern,0.00,2.00,0.0000
3081,NonVisitorPattern,0.00,0.98,0.0000
3082,VisitorPattern,0.00,1.02,0.0000
3082,NonVisitorPattern,0.00,0.27,0.0000
3083,VisitorPattern,0.00,1.51,0.0000
3083,NonVisitorPattern,0.00,1.21,0.0000
3084,VisitorPattern,0.00,1.10,0.0000
3084,NonVisitorPattern,0.02,1.18,0.2344
3085,VisitorPattern,0.00,0.63,0.0000
3085,NonVisitorPattern,0.00,0.92,0.0000
3086,VisitorPattern,0.00,0.25,0.0000
3086,NonVisitorPattern,0.00,0.67,0.0000
3087,VisitorPattern,0.00,1.04,0.0000
3087,NonVisitorPattern,0.00,0.52,0.0000
3088,VisitorPattern,0.00,1.07,0.0000
3088,NonVisitorPattern,0.00,0.46,0.0000
3089,VisitorPattern,0.00,1.08,0.0000
3089,NonVisitorPattern,0.00,0.55,0.0000
3090,VisitorPattern,0.00,0.33,0.0000
3090,NonVisitorPattern,0.00,1.15,0.0000
3091,VisitorPattern,0.00,0.69,0.0000
3091,NonVisitorPattern,0.00,1.00,0.0000
3092,VisitorPattern,0.00,1.17,0.0000
3092,NonVisitorPattern,0.00,0.73,0.0000
3093,VisitorPattern,0.00,0.82,0.0000
3093,NonVisitorPattern,0.02,0.98,0.2344
3094,VisitorPattern,0.00,0.90,0.0000
3094,NonVisitorPattern,0.00,0.93,0.0000
3095,VisitorPattern,0.00,1.09,0.0000
3095,NonVisitorPattern,0.00,0.47,0.0000
3096,VisitorPattern,0.00,0.82,0.0000
3096,NonVisitorPattern,0.00,0.83,0.0000
3097,VisitorPattern,0.00,0.71,0.0000
3097,NonVisitorPattern,0.00,0.97,0.0000
3098,VisitorPattern,0.00,0.56,0.0000
3098,NonVisitorPattern,0.00,0.18,0.0000
3099,VisitorPattern,0.00,0.15,0.0000
3099,NonVisitorPattern,0.00,0.16,0.0000
3100,VisitorPattern,0.00,0.15,0.0000
3100,NonVisitorPattern,0.00,0.54,0.0000
3101,VisitorPattern,0.00,0.24,0.0000
3101,NonVisitorPattern,0.00,0.17,0.0000
3102,VisitorPattern,0.00,0.16,0.0000
3102,NonVisitorPattern,0.00,0.15,0.0000
3103,VisitorPattern,0.00,0.16,0.0000
3103,NonVisitorPattern,0.00,0.17,0.0000
3104,VisitorPattern,0.00,0.17,0.0000
3104,NonVisitorPattern,0.00,0.16,0.0000
3105,VisitorPattern,0.00,0.17,0.0000
3105,NonVisitorPattern,0.00,0.15,0.0000
3106,VisitorPattern,0.00,0.17,0.0000
3106,NonVisitorPattern,0.00,0.16,0.0000
3107,VisitorPattern,0.00,0.16,0.0000
3107,NonVisitorPattern,0.00,0.17,0.0000
3108,VisitorPattern,0.00,0.18,0.0000
3108,NonVisitorPattern,0.00,0.29,0.0000
3109,VisitorPattern,0.00,0.58,0.0000
3109,NonVisitorPattern,0.00,0.15,0.0000
3110,VisitorPattern,0.00,0.15,0.0000
3110,NonVisitorPattern,0.00,0.14,0.0000
3111,VisitorPattern,0.00,0.15,0.0000
3111,NonVisitorPattern,0.00,0.75,0.0000
3112,VisitorPattern,0.00,0.15,0.0000
3112,NonVisitorPattern,0.00,0.13,0.0000
3113,VisitorPattern,0.00,0.14,0.0000
3113,NonVisitorPattern,0.00,0.14,0.0000
3114,VisitorPattern,0.00,1.03,0.0000
3114,NonVisitorPattern,0.00,0.15,0.0000
3115,VisitorPattern,0.00,0.27,0.0000
3115,NonVisitorPattern,0.00,0.24,0.0000
3116,VisitorPattern,0.00,0.23,0.0000
3116,NonVisitorPattern,0.00,1.23,0.0000
3117,VisitorPattern,0.00,0.28,0.0000
3117,NonVisitorPattern,0.00,0.21,0.0000
3118,VisitorPattern,0.00,0.20,0.0000
3118,NonVisitorPattern,0.00,0.12,0.0000
3119,VisitorPattern,0.00,0.59,0.0000
3119,NonVisitorPattern,0.00,0.16,0.0000
3120,VisitorPattern,0.00,0.81,0.0000
3120,NonVisitorPattern,0.00,0.13,0.0000
3121,VisitorPattern,0.00,0.14,0.0000
3121,NonVisitorPattern,0.00,0.12,0.0000
3122,VisitorPattern,0.00,1.16,0.0000
3122,NonVisitorPattern,0.00,0.48,0.0000
3123,VisitorPattern,0.00,0.13,0.0000
3123,NonVisitorPattern,0.00,0.13,0.0000
3124,VisitorPattern,0.00,0.13,0.0000
3124,NonVisitorPattern,0.00,0.92,0.0000
3125,VisitorPattern,0.00,0.73,0.0000
3125,NonVisitorPattern,0.00,0.12,0.0000
3126,VisitorPattern,0.00,0.14,0.0000
3126,NonVisitorPattern,0.00,0.13,0.0000
3127,VisitorPattern,0.00,0.38,0.0000
3127,NonVisitorPattern,0.00,0.20,0.0000
3128,VisitorPattern,0.00,0.13,0.0000
3128,NonVisitorPattern,0.00,0.13,0.0000
3129,VisitorPattern,0.00,0.13,0.0000
3129,NonVisitorPattern,0.00,0.20,0.0000
3130,VisitorPattern,0.00,0.48,0.0000
3130,NonVisitorPattern,0.00,0.19,0.0000
3131,VisitorPattern,0.00,0.17,0.0000
3131,NonVisitorPattern,0.00,0.19,0.0000
3132,VisitorPattern,0.00,0.15,0.0000
3132,NonVisitorPattern,0.00,0.14,0.0000
3133,VisitorPattern,0.00,0.15,0.0000
3133,NonVisitorPattern,0.00,0.14,0.0000
3134,VisitorPattern,0.00,0.15,0.0000
3134,NonVisitorPattern,0.00,0.14,0.0000
3135,VisitorPattern,0.00,0.16,0.0000
3135,NonVisitorPattern,0.00,0.14,0.0000
3136,VisitorPattern,0.00,0.15,0.0000
3136,NonVisitorPattern,0.00,0.14,0.0000
3137,VisitorPattern,0.00,0.15,0.0000
3137,NonVisitorPattern,0.00,0.15,0.0000
3138,VisitorPattern,0.00,0.15,0.0000
3138,NonVisitorPattern,0.00,0.14,0.0000
3139,VisitorPattern,0.00,0.15,0.0000
3139,NonVisitorPattern,0.02,0.37,0.2344
3140,VisitorPattern,0.00,0.18,0.0000
3140,NonVisitorPattern,0.00,0.15,0.0000
3141,VisitorPattern,0.00,0.16,0.0000
3141,NonVisitorPattern,0.00,0.14,0.0000
3142,VisitorPattern,0.00,0.55,0.0000
3142,NonVisitorPattern,0.00,0.23,0.0000
3143,VisitorPattern,0.00,0.16,0.0000
3143,NonVisitorPattern,0.00,0.15,0.0000
3144,VisitorPattern,0.00,0.27,0.0000
3144,NonVisitorPattern,0.00,0.87,0.0000
3145,VisitorPattern,0.00,0.50,0.0000
3145,NonVisitorPattern,0.00,0.30,0.0000
3146,VisitorPattern,0.00,0.22,0.0000
3146,NonVisitorPattern,0.00,0.68,0.0000
3147,VisitorPattern,0.00,0.44,0.0000
3147,NonVisitorPattern,0.00,0.20,0.0000
3148,VisitorPattern,0.00,0.14,0.0000
3148,NonVisitorPattern,0.00,0.20,0.0000
3149,VisitorPattern,0.00,1.25,0.0000
3149,NonVisitorPattern,0.00,0.65,0.0000
3150,VisitorPattern,0.00,1.14,0.0000
3150,NonVisitorPattern,0.00,1.49,0.0000
3151,VisitorPattern,0.00,1.10,0.0000
3151,NonVisitorPattern,0.00,0.64,0.0000
3152,VisitorPattern,0.00,1.41,0.0000
3152,NonVisitorPattern,0.00,0.86,0.0000
3153,VisitorPattern,0.00,0.52,0.0000
3153,NonVisitorPattern,0.00,0.82,0.0000
3154,VisitorPattern,0.00,1.03,0.0000
3154,NonVisitorPattern,0.00,0.98,0.0000
3155,VisitorPattern,0.00,0.88,0.0000
3155,NonVisitorPattern,0.00,0.87,0.0000
3156,VisitorPattern,0.00,1.96,0.0000
3156,NonVisitorPattern,0.00,1.84,0.0000
3157,VisitorPattern,0.00,1.14,0.0000
3157,NonVisitorPattern,0.00,0.57,0.0000
3158,VisitorPattern,0.00,0.20,0.0000
3158,NonVisitorPattern,0.00,0.12,0.0000
3159,VisitorPattern,0.00,0.14,0.0000
3159,NonVisitorPattern,0.00,0.12,0.0000
3160,VisitorPattern,0.00,0.13,0.0000
3160,NonVisitorPattern,0.00,0.13,0.0000
3161,VisitorPattern,0.00,0.13,0.0000
3161,NonVisitorPattern,0.00,0.13,0.0000
3162,VisitorPattern,0.00,0.13,0.0000
3162,NonVisitorPattern,0.00,0.12,0.0000
3163,VisitorPattern,0.00,0.13,0.0000
3163,NonVisitorPattern,0.00,0.12,0.0000
3164,VisitorPattern,0.00,0.14,0.0000
3164,NonVisitorPattern,0.00,0.12,0.0000
3165,VisitorPattern,0.00,0.13,0.0000
3165,NonVisitorPattern,0.00,0.13,0.0000
3166,VisitorPattern,0.00,0.14,0.0000
3166,NonVisitorPattern,0.00,0.13,0.0000
3167,VisitorPattern,0.00,0.13,0.0000
3167,NonVisitorPattern,0.00,0.12,0.0000
3168,VisitorPattern,0.00,0.14,0.0000
3168,NonVisitorPattern,0.00,0.14,0.0000
3169,VisitorPattern,0.00,0.14,0.0000
3169,NonVisitorPattern,0.00,0.13,0.0000
3170,VisitorPattern,0.00,0.13,0.0000
3170,NonVisitorPattern,0.00,0.13,0.0000
3171,VisitorPattern,0.00,0.14,0.0000
3171,NonVisitorPattern,0.00,0.13,0.0000
3172,VisitorPattern,0.00,0.16,0.0000
3172,NonVisitorPattern,0.00,0.14,0.0000
3173,VisitorPattern,0.00,0.16,0.0000
3173,NonVisitorPattern,0.00,0.16,0.0000
3174,VisitorPattern,0.00,0.17,0.0000
3174,NonVisitorPattern,0.00,0.16,0.0000
3175,VisitorPattern,0.02,0.46,0.2344
3175,NonVisitorPattern,0.00,0.16,0.0000
3176,VisitorPattern,0.00,0.17,0.0000
3176,NonVisitorPattern,0.00,0.15,0.0000
3177,VisitorPattern,0.00,0.17,0.0000
3177,NonVisitorPattern,0.00,0.14,0.0000
3178,VisitorPattern,0.00,0.16,0.0000
3178,NonVisitorPattern,0.00,0.15,0.0000
3179,VisitorPattern,0.00,0.15,0.0000
3179,NonVisitorPattern,0.00,0.16,0.0000
3180,VisitorPattern,0.00,0.15,0.0000
3180,NonVisitorPattern,0.00,0.15,0.0000
3181,VisitorPattern,0.00,0.17,0.0000
3181,NonVisitorPattern,0.00,0.17,0.0000
3182,VisitorPattern,0.00,0.16,0.0000
3182,NonVisitorPattern,0.00,0.14,0.0000
3183,VisitorPattern,0.00,0.16,0.0000
3183,NonVisitorPattern,0.00,0.16,0.0000
3184,VisitorPattern,0.00,0.18,0.0000
3184,NonVisitorPattern,0.00,0.16,0.0000
3185,VisitorPattern,0.00,0.15,0.0000
3185,NonVisitorPattern,0.00,0.16,0.0000
3186,VisitorPattern,0.00,0.14,0.0000
3186,NonVisitorPattern,0.00,0.08,0.0000
3187,VisitorPattern,0.00,0.08,0.0000
3187,NonVisitorPattern,0.00,0.08,0.0000
3188,VisitorPattern,0.00,0.08,0.0000
3188,NonVisitorPattern,0.00,0.08,0.0000
3189,VisitorPattern,0.00,0.08,0.0000
3189,NonVisitorPattern,0.00,0.08,0.0000
3190,VisitorPattern,0.00,0.08,0.0000
3190,NonVisitorPattern,0.00,0.09,0.0000
3191,VisitorPattern,0.00,0.07,0.0000
3191,NonVisitorPattern,0.00,0.07,0.0000
3192,VisitorPattern,0.00,0.07,0.0000
3192,NonVisitorPattern,0.00,0.07,0.0000
3193,VisitorPattern,0.00,0.08,0.0000
3193,NonVisitorPattern,0.00,0.08,0.0000
3194,VisitorPattern,0.00,0.07,0.0000
3194,NonVisitorPattern,0.00,0.07,0.0000
3195,VisitorPattern,0.00,0.07,0.0000
3195,NonVisitorPattern,0.00,0.07,0.0000
3196,VisitorPattern,0.00,0.07,0.0000
3196,NonVisitorPattern,0.00,0.07,0.0000
3197,VisitorPattern,0.00,0.08,0.0000
3197,NonVisitorPattern,0.00,0.07,0.0000
3198,VisitorPattern,0.00,0.07,0.0000
3198,NonVisitorPattern,0.00,0.07,0.0000
3199,VisitorPattern,0.00,0.07,0.0000
3199,NonVisitorPattern,0.00,0.07,0.0000
3200,VisitorPattern,0.00,0.08,0.0000
3200,NonVisitorPattern,0.00,0.07,0.0000
3201,VisitorPattern,0.00,0.08,0.0000
3201,NonVisitorPattern,0.00,0.09,0.0000
3202,VisitorPattern,0.00,0.08,0.0000
3202,NonVisitorPattern,0.00,0.07,0.0000
3203,VisitorPattern,0.00,0.08,0.0000
3203,NonVisitorPattern,0.00,0.07,0.0000
3204,VisitorPattern,0.00,0.07,0.0000
3204,NonVisitorPattern,0.00,0.07,0.0000
3205,VisitorPattern,0.00,0.07,0.0000
3205,NonVisitorPattern,0.00,0.07,0.0000
3206,VisitorPattern,0.00,0.07,0.0000
3206,NonVisitorPattern,0.00,0.07,0.0000
3207,VisitorPattern,0.00,0.07,0.0000
3207,NonVisitorPattern,0.00,0.07,0.0000
3208,VisitorPattern,0.00,0.07,0.0000
3208,NonVisitorPattern,0.00,0.07,0.0000
3209,VisitorPattern,0.00,0.07,0.0000
3209,NonVisitorPattern,0.00,0.07,0.0000
3210,VisitorPattern,0.00,0.07,0.0000
3210,NonVisitorPattern,0.00,0.07,0.0000
3211,VisitorPattern,0.00,0.07,0.0000
3211,NonVisitorPattern,0.00,0.07,0.0000
3212,VisitorPattern,0.00,0.07,0.0000
3212,NonVisitorPattern,0.00,0.07,0.0000
3213,VisitorPattern,0.00,0.07,0.0000
3213,NonVisitorPattern,0.00,0.07,0.0000
3214,VisitorPattern,0.00,0.07,0.0000
3214,NonVisitorPattern,0.00,0.07,0.0000
3215,VisitorPattern,0.00,0.07,0.0000
3215,NonVisitorPattern,0.00,0.07,0.0000
3216,VisitorPattern,0.00,0.07,0.0000
3216,NonVisitorPattern,0.00,0.07,0.0000
3217,VisitorPattern,0.00,0.07,0.0000
3217,NonVisitorPattern,0.00,0.07,0.0000
3218,VisitorPattern,0.00,0.07,0.0000
3218,NonVisitorPattern,0.00,0.07,0.0000
3219,VisitorPattern,0.00,0.07,0.0000
3219,NonVisitorPattern,0.00,0.07,0.0000
3220,VisitorPattern,0.00,0.07,0.0000
3220,NonVisitorPattern,0.00,0.07,0.0000
3221,VisitorPattern,0.00,0.07,0.0000
3221,NonVisitorPattern,0.00,0.07,0.0000
3222,VisitorPattern,0.00,0.08,0.0000
3222,NonVisitorPattern,0.00,0.07,0.0000
3223,VisitorPattern,0.00,0.07,0.0000
3223,NonVisitorPattern,0.00,0.07,0.0000
3224,VisitorPattern,0.00,0.07,0.0000
3224,NonVisitorPattern,0.00,0.07,0.0000
3225,VisitorPattern,0.00,0.07,0.0000
3225,NonVisitorPattern,0.00,0.07,0.0000
3226,VisitorPattern,0.00,0.07,0.0000
3226,NonVisitorPattern,0.00,0.07,0.0000
3227,VisitorPattern,0.00,0.08,0.0000
3227,NonVisitorPattern,0.00,0.07,0.0000
3228,VisitorPattern,0.00,0.07,0.0000
3228,NonVisitorPattern,0.00,0.07,0.0000
3229,VisitorPattern,0.00,0.07,0.0000
3229,NonVisitorPattern,0.00,0.07,0.0000
3230,VisitorPattern,0.00,0.07,0.0000
3230,NonVisitorPattern,0.00,0.07,0.0000
3231,VisitorPattern,0.00,0.07,0.0000
3231,NonVisitorPattern,0.00,0.07,0.0000
3232,VisitorPattern,0.00,0.07,0.0000
3232,NonVisitorPattern,0.00,0.07,0.0000
3233,VisitorPattern,0.00,0.07,0.0000
3233,NonVisitorPattern,0.00,0.07,0.0000
3234,VisitorPattern,0.00,0.07,0.0000
3234,NonVisitorPattern,0.00,0.07,0.0000
3235,VisitorPattern,0.00,0.07,0.0000
3235,NonVisitorPattern,0.00,0.07,0.0000
3236,VisitorPattern,0.00,0.07,0.0000
3236,NonVisitorPattern,0.00,0.06,0.0000
3237,VisitorPattern,0.00,0.08,0.0000
3237,NonVisitorPattern,0.00,0.07,0.0000
3238,VisitorPattern,0.00,0.07,0.0000
3238,NonVisitorPattern,0.00,0.06,0.0000
3239,VisitorPattern,0.00,0.07,0.0000
3239,NonVisitorPattern,0.00,0.07,0.0000
3240,VisitorPattern,0.00,0.07,0.0000
3240,NonVisitorPattern,0.00,0.08,0.0000
3241,VisitorPattern,0.00,0.08,0.0000
3241,NonVisitorPattern,0.00,0.08,0.0000
3242,VisitorPattern,0.00,0.08,0.0000
3242,NonVisitorPattern,0.00,0.08,0.0000
3243,VisitorPattern,0.00,0.08,0.0000
3243,NonVisitorPattern,0.00,0.07,0.0000
3244,VisitorPattern,0.00,0.08,0.0000
3244,NonVisitorPattern,0.00,0.08,0.0000
3245,VisitorPattern,0.00,0.08,0.0000
3245,NonVisitorPattern,0.00,0.08,0.0000
